FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
1	426	640	239	153	181	181	282.344	196.337	298.701	195.94	317.902	200.86	351.63	204.789	369.735	205.615	387.275	208.562	330.482	243.797	-7.65177	10.7412	1.29086	-1.27287	-1.21974	-0.226013	-1.72983	-0.573949	-0.731854	-1.24471	0.539028	0.137828	-0.690031	-2.00659	-0.939184	-1.05953	-0.753777	-1.19563	0.341844	-1.0035	-0.761117	-2.18509	-0.146358	-1.2473	-0.0685644	-0.169136	-0.460827	-0.247444	-0.528443	0.212188	0.396461	-0.432184	-0.381336	-0.97377
2	426	640	238	152	183	183	281.73	195.619	298.651	195.983	317.709	200.282	351.838	204.34	370.484	205.027	387.908	208.244	330.64	244.076	-7.43334	10.9629	1.463	-0.808536	-1.00574	-0.348322	-1.70005	-0.867386	-0.586374	-1.38783	0.2441	0.696046	-0.710559	-1.4331	-0.77501	-1.1191	-0.80543	-1.07426	0.182016	-0.974333	-0.761564	-2.0295	-0.12759	-1.29869	-0.185761	-0.268485	-0.284208	-0.375973	-0.52487	0.227847	0.431688	-0.499434	-0.343165	-1.3825
3	426	640	238	152	183	183	281.596	195.822	298.763	195.954	317.647	200.413	351.841	204.402	370.482	204.831	387.98	208.232	330.839	244.605	-7.42988	10.6545	1.32133	-0.655643	-0.974711	-0.310739	-1.6867	-0.878432	-0.640006	-1.34815	0.210045	0.835486	-0.736671	-1.48392	-0.684233	-1.14047	-0.818594	-1.11072	0.0245844	-1.00072	-0.803222	-1.90614	-0.130035	-1.12832	-0.224451	-0.180118	-0.180965	-0.405493	-0.536933	0.240914	0.486971	-0.464899	-0.311972	-1.34181
4	426	640	238	152	182	182	281.929	196.177	298.873	195.78	317.764	200.643	351.754	204.516	369.738	204.936	387.676	208.226	330.892	244.566	-7.68462	10.6907	1.46603	-0.986359	-1.06426	-0.297292	-1.60507	-0.833137	-0.659839	-1.26598	0.330476	0.359143	-0.613658	-1.74797	-0.849394	-1.13216	-0.808399	-1.20045	0.0436253	-0.998797	-0.850805	-1.92068	-0.164828	-1.00451	-0.187698	-0.24707	-0.303571	-0.307322	-0.564793	0.156759	0.430892	-0.463152	-0.328794	-1.21444
5	426	640	238	152	183	183	281.877	195.718	299.002	196.025	317.873	200.294	352.016	204.27	370.196	206.172	388.099	208.087	331.151	244.136	-7.12478	10.6501	0.89155	-0.690326	-1.07439	-0.30689	-1.72959	-0.878149	-0.719858	-1.4199	0.273403	0.763665	-0.755684	-1.50758	-0.79839	-1.16656	-0.817219	-1.24958	0.045555	-0.967415	-0.815703	-1.84847	-0.126332	-1.1499	-0.332009	-0.22962	-0.292381	-0.437776	-0.520035	0.126557	0.393201	-0.413623	-0.282745	-1.34903
6	426	640	238	152	182	182	281.82	195.434	298.779	195.844	317.683	200.104	351.701	204.17	369.791	205.552	387.654	208.085	330.922	242.974	-7.05634	11	0.753421	-0.73406	-1.12812	-0.42898	-1.73306	-0.849252	-0.766116	-1.5544	0.485069	0.467408	-0.720634	-1.31702	-0.979176	-1.09249	-0.77684	-1.25526	0.17083	-0.886824	-0.589056	-2.11308	-0.2772	-1.30471	-0.227793	-0.176477	-0.504907	-0.424864	-0.538812	0.0992941	0.380298	-0.437758	-0.340344	-0.913874
7	426	640	239	152	181	181	282.363	195.408	298.889	195.883	318.078	200.011	351.956	204.016	370.089	205.948	387.76	207.867	331.419	242.236	-6.99493	10.7613	0.827045	-0.865734	-1.22178	-0.540706	-1.68074	-0.820097	-0.829664	-1.54568	0.824907	-0.126236	-0.605985	-1.24524	-1.20786	-1.10046	-0.786094	-1.43859	0.334646	-0.858619	-0.539976	-2.20307	-0.346982	-1.26969	-0.282626	-0.258302	-0.697653	-0.388871	-0.444054	0.0399099	0.261529	-0.412497	-0.37479	-0.922561
8	426	640	238	152	182	182	281.896	195.957	298.832	195.831	317.827	200.497	351.909	204.44	371.165	204.561	387.928	208.222	331.058	244.434	-7.25481	11.6403	1.25305	-0.955199	-1.11802	-0.47952	-1.52992	-0.852441	-0.711719	-1.348	0.292175	0.192739	-0.530554	-1.56942	-0.975546	-1.12927	-0.81564	-1.36442	-0.0928145	-0.969944	-0.894539	-2.29542	-0.22987	-1.13587	-0.294625	-0.196898	-0.301982	-0.337511	-0.651277	0.142363	0.40233	-0.434774	-0.223558	-1.25909
9	426	640	238	152	183	183	281.859	195.273	299.282	195.846	317.757	200.109	351.811	204.331	371.418	205.528	387.803	208.41	330.787	243.939	-7.44296	11.7458	1.05001	-0.943203	-1.19062	-0.476212	-1.6915	-0.931266	-0.619671	-1.59238	0.486613	0.276398	-0.622538	-1.40616	-1.12717	-1.10752	-0.803074	-1.28688	-0.0100591	-0.921309	-0.798876	-2.26662	-0.309667	-1.17938	-0.183661	-0.144781	-0.380764	-0.438717	-0.631696	0.184912	0.436676	-0.503982	-0.238705	-1.23089
10	426	640	238	152	183	183	281.908	195.734	299.022	195.925	317.931	200.336	352.101	204.337	370.874	204.95	388.213	208.179	331.153	244.142	-7.31879	11.6109	0.83692	-0.812371	-1.19775	-0.542785	-1.62162	-0.801271	-0.834146	-1.38687	0.234384	0.312872	-0.62324	-1.46233	-0.901229	-1.12793	-0.813237	-1.3193	-0.0639037	-0.889999	-0.830081	-2.12433	-0.298202	-0.884455	-0.240167	-0.353031	-0.377924	-0.402011	-0.650806	0.154583	0.397223	-0.433318	-0.202639	-1.29888
