FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
1	426	640	231	147	182	182	270.424	194.509	287.898	192.993	306.421	196.137	340.536	197.321	359.297	196.456	376.559	198.191	323.255	238.461	-2.42618	11.6622	3.07798	-0.698966	-0.723578	-0.320438	-2.24537	-0.825995	-0.297411	-1.33182	1.05918	0.517806	-1.01346	-1.34667	-1.41674	-0.982003	-0.794351	-1.22781	-0.249751	-0.897801	-0.488462	-1.80804	-0.00279396	-0.956114	-0.580899	-0.168717	-0.557105	-0.331586	-0.388643	-0.0848137	0.218768	-0.417514	-0.455402	-1.21803
2	426	640	230	146	182	182	270.205	194.523	287.901	191.725	306.357	195.937	340.617	196.917	358.251	195.166	376.791	197.57	323.292	238.042	-2.0515	12.754	2.5983	-1.0834	-0.765898	-0.626052	-1.728	-0.743812	-0.619147	-1.12742	1.08503	-0.637426	-0.559994	-1.66466	-1.72244	-0.89749	-0.741911	-1.05213	-0.351792	-0.845704	-0.410421	-2.03651	-0.18371	-0.86377	-0.59017	-0.223342	-0.544543	-0.269412	-0.528295	-0.276163	0.203681	-0.410208	-0.390175	-1.23998
3	426	640	232	146	181	181	271.488	194.008	288.668	191.357	307.341	195.281	341.317	196.128	359.834	195.116	377.19	196.646	323.677	235.862	-1.88595	13.3381	1.36037	-1.1306	-0.880908	-0.632171	-1.82214	-0.724987	-0.356319	-0.941435	1.051	-0.598047	-0.585237	-1.73466	-1.79953	-0.939852	-0.718236	-1.45606	-0.279487	-0.819611	-0.474652	-2.59168	-0.453869	-0.446997	-0.425279	-0.0924892	-0.444665	-0.463776	-0.474535	-0.255919	0.120269	-0.439658	-0.221176	-1.08365
4	426	640	233	146	181	181	273.056	193.812	290.501	191.797	308.87	195.488	342.812	196.718	361.437	195.279	378.654	197.639	324.953	237.337	-1.85747	12.5383	1.57577	-1.15392	-0.937956	-0.447172	-1.85623	-0.851935	-0.443828	-0.947378	1.14014	-0.595586	-0.608504	-1.50039	-1.57159	-1.00075	-0.722995	-1.24614	-0.357205	-0.853981	-0.480914	-2.72152	-0.359009	-0.632703	-0.409156	-0.302532	-0.40655	-0.709121	-0.448022	-0.135668	0.191012	-0.414234	-0.230837	-1.19918
5	426	640	236	147	181	181	275.912	195.228	293.373	192.823	311.882	196.831	345.97	197.991	364.061	196.968	381.966	198.836	328.727	238.585	-2.75152	12.2998	-0.0671505	-0.951827	-0.847048	-0.485928	-1.7658	-0.973314	-0.661559	-1.28727	1.20598	-0.52442	-0.587977	-1.81461	-1.4789	-1.03974	-0.807517	-1.17724	-0.800147	-0.736984	-0.186492	-2.28054	-0.299602	-0.647571	-0.342333	-0.195616	-0.569118	-0.213148	-0.479077	-0.201557	0.303949	-0.395563	-0.370794	-1.2102
6	426	640	242	153	176	176	281.12	198.419	297.155	198.612	316.081	200.514	349.22	202.149	367.405	204.491	384.218	203.508	331.672	240.711	-4.95613	9.22917	1.9182	-2.37638	-0.905245	-0.365961	-1.13789	-1.55027	0.104845	-1.84424	1.12517	-1.18712	0.252289	-1.71255	-0.58582	-0.310982	-0.514844	-1.00802	-0.843325	-0.47897	0.811331	-1.6035	-0.643655	-0.4179	0.00596986	-0.216071	-0.381341	-0.174994	-0.841032	0.0726954	0.122217	-0.57461	-0.36381	-0.899308
7	426	640	241	150	182	182	282.658	196.005	299.505	195.154	318.555	199.094	352.59	201.663	370.693	202.039	388.544	203.996	334.074	241.249	-5.2956	11.3045	0.738072	-1.52205	-1.07219	-0.347254	-1.35064	-1.23747	-0.373095	-1.64174	1.167	-0.744502	-0.160947	-1.61287	-1.16804	-0.935978	-0.7929	-1.109	-0.796721	-0.670255	0.356752	-1.84443	-0.290412	-1.02714	-0.276581	-0.446578	-0.810103	-0.167957	-0.624033	0.306291	0.0844218	-0.378106	-0.288407	-1.02338
8	426	640	241	149	183	183	283.5	194.456	300.556	193.569	319.593	197.692	353.814	200.398	371.964	200.803	389.967	202.873	334.81	241.225	-5.32716	11.5771	1.70306	-0.93876	-1.17567	-0.243373	-1.49362	-1.28789	-0.797179	-1.81297	1.06828	-0.204827	-0.428554	-1.4324	-1.13279	-1.14579	-0.830479	-1.30888	-0.633919	-0.789731	-0.299318	-1.77014	-0.201147	-0.439096	-0.17494	-0.459805	-0.486851	-0.323126	-0.552376	0.193119	0.342574	-0.343639	-0.235445	-1.25376
9	426	640	242	150	183	183	283.844	195.61	300.866	194.877	319.931	199.003	354.149	201.856	371.695	201.805	390.3	204.488	335.011	241.38	-5.98975	11.7739	2.15328	-1.20231	-1.13829	-0.439134	-1.52778	-1.08151	-0.838845	-1.70288	0.978303	-0.498275	-0.409704	-1.5899	-1.29338	-1.12863	-0.8237	-1.47637	-0.306913	-0.833454	-0.43319	-1.83374	-0.161546	-0.438096	-0.129245	-0.501612	-0.730111	-0.278413	-0.454792	0.164222	0.186776	-0.405074	-0.230417	-1.16997
10	426	640	241	150	182	182	283.004	196.168	300.397	194.417	319.052	199.298	353.229	201.904	372.297	202.177	389.335	204.275	334.957	242.156	-5.95306	12.0493	2.40844	-1.33005	-1.1236	-0.609428	-1.35513	-0.853806	-0.875756	-1.44321	0.874117	-0.815688	-0.257492	-1.79696	-1.6092	-1.12566	-0.818473	-1.45965	-0.322212	-0.850222	-0.382104	-1.75108	-0.232996	-0.367342	-0.0557558	-0.471112	-0.592448	-0.438521	-0.528327	0.0591336	0.215945	-0.395014	-0.247029	-1.11144
