Frame	Acquired	Time
1	True	1414017318.91
2	True	1414017318.94
3	True	1414017318.97
4	True	1414017319.0
5	True	1414017319.03
6	True	1414017319.06
7	True	1414017319.09
8	True	1414017319.12
9	True	1414017319.16
10	True	1414017319.19
11	True	1414017319.23
12	True	1414017319.26
13	True	1414017319.29
14	True	1414017319.33
15	True	1414017319.35
16	True	1414017319.39
17	True	1414017319.43
18	True	1414017319.46
19	True	1414017319.5
20	True	1414017319.52
21	True	1414017319.55
22	True	1414017319.59
23	True	1414017319.63
24	True	1414017319.66
25	True	1414017319.69
26	True	1414017319.72
27	True	1414017319.75
28	True	1414017319.79
29	True	1414017319.81
30	True	1414017319.85
31	True	1414017319.89
32	True	1414017319.92
33	True	1414017319.96
34	True	1414017319.98
35	True	1414017320.01
36	True	1414017320.05
37	True	1414017320.09
38	True	1414017320.12
39	True	1414017320.15
40	True	1414017320.19
41	True	1414017320.22
42	True	1414017320.25
43	True	1414017320.28
44	True	1414017320.31
45	True	1414017320.35
46	True	1414017320.39
47	True	1414017320.42
48	True	1414017320.45
49	True	1414017320.48
50	True	1414017320.51
51	True	1414017320.55
52	True	1414017320.58
53	True	1414017320.62
54	True	1414017320.64
55	True	1414017320.68
56	True	1414017320.71
57	True	1414017320.74
58	True	1414017320.78
59	True	1414017320.81
60	True	1414017320.85
61	True	1414017320.87
62	True	1414017320.91
63	True	1414017320.94
64	True	1414017320.97
65	True	1414017321.01
66	True	1414017321.05
67	True	1414017321.08
68	True	1414017321.11
69	True	1414017321.14
70	True	1414017321.18
71	True	1414017321.2
72	True	1414017321.24
73	True	1414017321.27
74	True	1414017321.3
75	True	1414017321.34
76	True	1414017321.37
77	True	1414017321.41
78	True	1414017321.43
79	True	1414017321.48
80	True	1414017321.51
81	True	1414017321.53
82	True	1414017321.57
83	True	1414017321.6
84	True	1414017321.64
85	True	1414017321.67
86	True	1414017321.7
87	True	1414017321.73
88	True	1414017321.77
89	True	1414017321.8
90	True	1414017321.84
91	True	1414017321.87
92	True	1414017321.9
93	True	1414017321.93
94	True	1414017321.96
95	True	1414017322.0
96	True	1414017322.04
97	True	1414017322.07
98	True	1414017322.1
99	True	1414017322.13
100	True	1414017322.2
101	True	1414017322.23
102	True	1414017322.27
103	True	1414017322.3
104	True	1414017322.32
105	True	1414017322.36
106	True	1414017322.4
107	True	1414017322.43
108	True	1414017322.46
109	True	1414017322.5
110	True	1414017322.53
111	True	1414017322.56
112	True	1414017322.59
113	True	1414017322.63
114	True	1414017322.66
115	True	1414017322.7
116	True	1414017322.73
117	True	1414017322.76
118	True	1414017322.79
119	True	1414017322.82
120	True	1414017322.86
121	True	1414017322.9
122	True	1414017322.93
123	True	1414017322.95
124	True	1414017322.99
125	True	1414017323.02
126	True	1414017323.06
127	True	1414017323.09
128	True	1414017323.13
129	True	1414017323.16
130	True	1414017323.19
131	True	1414017323.22
132	True	1414017323.25
133	True	1414017323.29
134	True	1414017323.32
135	True	1414017323.35
136	True	1414017323.38
137	True	1414017323.42
138	True	1414017323.45
139	True	1414017323.48
140	True	1414017323.52
141	True	1414017323.55
142	True	1414017323.58
143	True	1414017323.62
144	True	1414017323.65
145	True	1414017323.68
146	True	1414017323.71
147	True	1414017323.75
148	True	1414017323.79
149	True	1414017323.81
150	True	1414017323.84
151	True	1414017323.88
152	True	1414017323.91
153	True	1414017323.95
154	True	1414017323.98
155	True	1414017324.02
156	True	1414017324.05
157	True	1414017324.08
158	True	1414017324.11
159	True	1414017324.15
160	True	1414017324.18
161	True	1414017324.21
162	True	1414017324.24
163	True	1414017324.28
164	True	1414017324.31
165	True	1414017324.34
166	True	1414017324.38
167	True	1414017324.41
168	True	1414017324.44
169	True	1414017324.47
170	True	1414017324.5
171	True	1414017324.54
172	True	1414017324.58
173	True	1414017324.6
174	True	1414017324.64
175	True	1414017324.68
176	True	1414017324.71
177	True	1414017324.74
178	True	1414017324.77
179	True	1414017324.81
180	True	1414017324.84
181	True	1414017324.87
182	True	1414017324.9
183	True	1414017324.93
184	True	1414017324.97
185	True	1414017325.0
186	True	1414017325.04
187	True	1414017325.07
188	True	1414017325.1
189	True	1414017325.13
190	True	1414017325.17
191	True	1414017325.2
192	True	1414017325.23
193	True	1414017325.26
194	True	1414017325.3
195	True	1414017325.33
196	True	1414017325.36
197	True	1414017325.4
198	True	1414017325.47
199	True	1414017325.5
200	True	1414017325.53
201	True	1414017325.56
202	True	1414017325.6
203	True	1414017325.63
204	True	1414017325.67
205	True	1414017325.7
206	True	1414017325.73
207	True	1414017325.76
208	True	1414017325.79
209	True	1414017325.82
210	True	1414017325.86
211	True	1414017325.89
212	True	1414017325.93
213	True	1414017325.96
214	True	1414017325.99
215	True	1414017326.03
216	True	1414017326.06
217	True	1414017326.1
218	True	1414017326.12
219	True	1414017326.15
220	True	1414017326.19
221	True	1414017326.22
222	True	1414017326.26
223	True	1414017326.29
224	True	1414017326.32
225	True	1414017326.36
226	True	1414017326.39
227	True	1414017326.42
228	True	1414017326.45
229	True	1414017326.49
230	True	1414017326.52
231	True	1414017326.56
232	True	1414017326.59
233	True	1414017326.62
234	True	1414017326.65
235	True	1414017326.69
236	True	1414017326.72
237	True	1414017326.75
238	True	1414017326.79
239	True	1414017326.82
240	True	1414017326.85
241	True	1414017326.88
242	True	1414017326.91
243	True	1414017326.95
244	True	1414017326.99
245	True	1414017327.02
246	True	1414017327.05
247	True	1414017327.08
248	True	1414017327.12
249	True	1414017327.14
250	True	1414017327.19
251	True	1414017327.22
252	True	1414017327.24
253	True	1414017327.27
254	True	1414017327.31
255	True	1414017327.35
256	True	1414017327.38
257	True	1414017327.41
258	True	1414017327.48
259	True	1414017327.53
260	True	1414017327.59
261	True	1414017327.65
262	True	1414017327.7
263	True	1414017327.76
264	True	1414017327.82
265	True	1414017327.88
266	True	1414017327.94
267	True	1414017327.99
268	True	1414017328.05
269	True	1414017328.1
270	True	1414017328.16
271	True	1414017328.22
272	True	1414017328.28
273	True	1414017328.33
274	True	1414017328.39
275	True	1414017328.45
276	True	1414017328.51
277	True	1414017328.57
278	True	1414017328.63
279	True	1414017328.69
280	True	1414017328.75
281	True	1414017328.81
282	True	1414017328.86
283	True	1414017328.92
284	True	1414017328.98
285	True	1414017329.04
286	True	1414017329.1
287	True	1414017329.16
288	True	1414017329.21
289	True	1414017329.27
290	True	1414017329.33
291	True	1414017329.39
292	True	1414017329.45
293	True	1414017329.51
294	True	1414017329.57
295	True	1414017329.63
296	True	1414017329.68
297	True	1414017329.74
298	True	1414017329.8
299	True	1414017329.85
300	True	1414017329.91
301	True	1414017329.97
302	True	1414017330.02
303	True	1414017330.08
304	True	1414017330.14
305	True	1414017330.2
306	True	1414017330.25
307	True	1414017330.31
308	True	1414017330.37
309	True	1414017330.42
310	True	1414017330.48
311	True	1414017330.54
312	True	1414017330.6
313	True	1414017330.66
314	True	1414017330.72
315	True	1414017330.77
316	True	1414017330.83
317	True	1414017330.89
318	True	1414017330.94
319	True	1414017331.01
320	True	1414017331.06
321	True	1414017331.12
322	True	1414017331.18
323	True	1414017331.24
324	True	1414017331.3
325	True	1414017331.35
326	True	1414017331.41
327	True	1414017331.47
328	True	1414017331.53
329	True	1414017331.59
330	True	1414017331.65
331	True	1414017331.71
332	True	1414017331.77
333	True	1414017331.82
334	True	1414017331.88
335	True	1414017331.94
336	True	1414017332.0
337	True	1414017332.06
338	True	1414017332.11
339	True	1414017332.17
340	True	1414017332.23
341	True	1414017332.28
342	True	1414017332.34
343	True	1414017332.4
344	True	1414017332.46
345	True	1414017332.52
346	True	1414017332.58
347	True	1414017332.64
348	True	1414017332.69
349	True	1414017332.75
350	True	1414017332.81
351	True	1414017332.86
352	True	1414017332.92
353	True	1414017332.98
354	True	1414017333.04
355	True	1414017333.1
356	True	1414017333.15
357	True	1414017333.21
