SID	Run	Trial	Stage	Expression	Decision	Time
101	2	26	1	0	None	1414017737.11
101	2	26	1	0	None	1414017737.14
101	2	26	1	0	None	1414017737.17
101	2	26	1	0	None	1414017737.23
101	2	26	1	0	None	1414017737.26
101	2	26	1	0	None	1414017737.29
101	2	26	1	0	None	1414017737.33
101	2	26	1	0	None	1414017737.36
101	2	26	1	0	None	1414017737.4
101	2	26	1	0	None	1414017737.43
101	2	26	1	0	None	1414017737.47
101	2	26	1	0	None	1414017737.49
101	2	26	1	0	None	1414017737.53
101	2	26	1	0	None	1414017737.56
101	2	26	1	0	None	1414017737.6
101	2	26	1	0	None	1414017737.63
101	2	26	1	0	None	1414017737.66
101	2	26	1	0	None	1414017737.69
101	2	26	1	0	None	1414017737.73
101	2	26	1	0	None	1414017737.76
101	2	26	1	0	None	1414017737.8
101	2	26	1	0	None	1414017737.83
101	2	26	1	0	None	1414017737.86
101	2	26	1	0	None	1414017737.89
101	2	26	1	0	None	1414017737.93
101	2	26	1	0	None	1414017737.96
101	2	26	1	0	None	1414017737.99
101	2	26	1	0	None	1414017738.03
101	2	26	1	0	None	1414017738.06
101	2	26	1	0	None	1414017738.09
101	2	26	1	0	None	1414017738.12
101	2	26	1	0	None	1414017738.15
101	2	26	1	0	None	1414017738.19
101	2	26	1	0	None	1414017738.22
101	2	26	1	0	None	1414017738.26
101	2	26	1	0	None	1414017738.29
101	2	26	1	0	None	1414017738.32
101	2	26	1	0	None	1414017738.35
101	2	26	1	0	None	1414017738.39
101	2	26	1	0	None	1414017738.42
101	2	26	1	0	None	1414017738.45
101	2	26	1	0	None	1414017738.49
101	2	26	1	0	None	1414017738.52
101	2	26	1	0	None	1414017738.55
101	2	26	1	0	None	1414017738.59
101	2	26	1	0	None	1414017738.62
101	2	26	1	0	None	1414017738.65
101	2	26	1	0	None	1414017738.68
101	2	26	1	0	None	1414017738.72
101	2	26	1	0	None	1414017738.75
101	2	26	1	0	None	1414017738.78
101	2	26	1	0	None	1414017738.82
101	2	26	1	0	None	1414017738.85
101	2	26	1	0	None	1414017738.88
101	2	26	2	1	None	1414017738.91
101	2	26	2	1	None	1414017738.95
101	2	26	2	1	None	1414017738.98
101	2	26	2	1	None	1414017739.02
101	2	26	2	1	None	1414017739.05
101	2	26	2	1	None	1414017739.08
101	2	26	2	1	None	1414017739.11
101	2	26	2	1	None	1414017739.15
101	2	26	2	1	None	1414017739.18
101	2	26	2	1	None	1414017739.21
101	2	26	2	1	None	1414017739.25
101	2	26	2	1	None	1414017739.28
101	2	26	2	1	None	1414017739.31
101	2	26	2	1	None	1414017739.34
101	2	26	2	1	None	1414017739.38
101	2	26	2	1	None	1414017739.41
101	2	26	2	1	None	1414017739.44
101	2	26	2	1	None	1414017739.47
101	2	26	2	1	None	1414017739.51
101	2	26	2	1	None	1414017739.55
101	2	26	2	1	None	1414017739.58
101	2	26	2	1	None	1414017739.6
101	2	26	2	1	None	1414017739.64
101	2	26	2	1	None	1414017739.68
101	2	26	2	1	None	1414017739.71
101	2	26	2	1	None	1414017739.74
101	2	26	2	1	None	1414017739.77
101	2	26	2	1	None	1414017739.8
101	2	26	2	1	None	1414017739.84
101	2	26	2	1	None	1414017739.87
101	2	26	2	1	None	1414017739.91
101	2	26	2	1	None	1414017739.94
101	2	26	2	1	None	1414017739.98
101	2	26	2	1	None	1414017740
101	2	26	2	1	None	1414017740.04
101	2	26	2	1	None	1414017740.07
101	2	26	2	1	None	1414017740.1
101	2	26	2	1	None	1414017740.14
101	2	26	2	1	None	1414017740.17
101	2	26	2	1	None	1414017740.2
101	2	26	2	1	None	1414017740.24
101	2	26	2	1	None	1414017740.27
101	2	26	2	1	None	1414017740.3
101	2	26	2	1	None	1414017740.34
101	2	26	2	1	None	1414017740.37
101	2	26	2	1	None	1414017740.4
101	2	26	2	1	None	1414017740.43
101	2	26	2	1	None	1414017740.47
101	2	26	2	1	None	1414017740.53
101	2	26	2	1	None	1414017740.57
101	2	26	2	1	None	1414017740.6
101	2	26	2	1	None	1414017740.63
101	2	26	2	1	None	1414017740.66
101	2	26	2	1	None	1414017740.7
101	2	26	2	1	None	1414017740.74
101	2	26	2	1	None	1414017740.77
101	2	26	2	1	None	1414017740.8
101	2	26	2	1	None	1414017740.83
101	2	26	2	1	None	1414017740.86
101	2	26	2	1	None	1414017740.9
101	2	26	2	1	None	1414017740.93
101	2	26	2	1	None	1414017740.96
101	2	26	2	1	None	1414017741
101	2	26	2	1	None	1414017741.03
101	2	26	2	1	None	1414017741.06
101	2	26	2	2	None	1414017741.1
101	2	26	2	2	None	1414017741.13
101	2	26	2	2	None	1414017741.16
101	2	26	2	2	None	1414017741.19
101	2	26	2	2	None	1414017741.23
101	2	26	2	2	None	1414017741.27
101	2	26	2	2	None	1414017741.29
101	2	26	2	2	None	1414017741.32
101	2	26	2	2	None	1414017741.35
