FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
1	426	640	238	152	182	182	278.556	198.585	295.847	196.864	314.571	200.927	348.71	202.788	367.834	203.192	384.766	204.372	330.766	243.351	-3.54254	12.8747	3.73761	-0.862404	-1.26789	-0.871009	-2.15893	-0.482813	-0.578092	-1.19692	0.900932	-0.243224	-0.866135	-1.34361	-1.72511	-1.08654	-0.804187	-1.46043	0.494664	-0.959707	-0.651794	-1.72688	-0.0740656	-0.739385	-0.252683	-0.428904	-0.457209	-0.858292	-0.429832	0.0275533	0.250069	-0.302222	-0.19217	-1.39654
2	426	640	236	151	184	184	278.446	198.125	295.792	196.622	314.873	200.976	349.407	203.313	367.787	204.08	385.886	205.396	330.827	243.808	-3.62775	12.1472	3.32147	-0.823059	-1.2885	-0.557623	-2.06053	-0.632454	-0.687321	-1.15924	0.456202	0.304426	-0.884193	-1.52337	-0.977732	-1.13583	-0.81243	-1.39165	0.250618	-1.02371	-0.720329	-1.4938	0.0067974	-0.713565	-0.369466	-0.392856	-0.263636	-0.738122	-0.542471	0.0839573	0.143112	-0.343806	-0.193562	-1.43818
3	426	640	238	152	182	182	279.007	198.567	295.784	196.566	315.132	201.039	349.376	203.02	367.496	202.732	385.544	204.731	331.211	244.08	-3.63049	12.4397	4.09232	-0.984566	-1.26959	-0.811216	-2.06223	-0.518751	-0.804716	-1.14973	0.768669	-0.371061	-0.806289	-1.49084	-1.59787	-1.07237	-0.80619	-1.41174	0.37828	-0.999269	-0.682998	-1.55734	-0.101667	-0.828469	-0.416433	-0.437172	-0.322556	-0.935515	-0.513004	-0.0220287	0.09862	-0.351395	-0.135549	-1.42878
4	426	640	237	151	184	184	278.016	198.341	296.314	196.979	314.394	200.822	348.879	202.81	366.712	203.198	385.301	204.525	330.806	244.126	-4.06656	13.8432	3.39375	-0.764749	-1.28037	-0.718917	-2.15421	-0.562419	-0.647646	-1.14533	0.710623	0.0435509	-0.907289	-1.78229	-1.0929	-1.11761	-0.813962	-1.31206	0.240599	-0.988882	-0.613595	-1.56831	-0.0743228	-0.718097	-0.333085	-0.477237	-0.230044	-0.951993	-0.582312	-0.0121492	0.183625	-0.356942	-0.145529	-1.46442
5	426	640	238	152	183	183	278.853	198.66	296.395	197.193	315.071	201.019	349.403	202.892	368.044	202.742	385.663	204.488	331.323	243.987	-3.78753	13.0361	3.11852	-0.850934	-1.27078	-0.835846	-2.16024	-0.537802	-0.754045	-1.19776	0.643553	-0.0949689	-0.893505	-1.55544	-1.6083	-1.12045	-0.82073	-1.42148	0.244661	-1.01153	-0.723608	-1.50355	-0.0515316	-0.773595	-0.365049	-0.409712	-0.324811	-0.90582	-0.493178	-0.0323262	0.187165	-0.295578	-0.137458	-1.40627
6	426	640	237	152	184	184	278.659	198.85	296.3	196.684	315.162	201.396	349.766	203.445	367.603	203.396	386.315	205.222	331.603	243.92	-3.94836	12.1233	3.10353	-0.924089	-1.15815	-0.580216	-2.04708	-0.477766	-0.728747	-0.997765	0.03981	0.535574	-0.920248	-1.42918	-1.12286	-1.13367	-0.822519	-1.45867	0.308689	-1.02207	-0.767867	-1.56448	-0.0289835	-0.660669	-0.328456	-0.402262	-0.292951	-0.98472	-0.539821	-0.021528	0.218724	-0.28171	-0.038747	-1.33177
7	426	640	238	152	183	183	278.921	198.625	296.46	197.003	315.167	201.128	349.526	203.137	368.633	202.868	385.817	204.876	330.758	244.488	-4.2652	12.9696	3.25124	-0.845242	-1.26081	-0.710419	-1.99318	-0.557166	-0.646283	-1.25338	0.591669	0.0941828	-0.819221	-1.41497	-1.28442	-1.12742	-0.813342	-1.34574	0.197134	-1.02437	-0.756901	-1.49547	-0.166002	-0.696671	-0.296577	-0.359744	-0.223516	-0.888269	-0.612432	-0.0363867	0.132733	-0.339125	-0.133161	-1.39483
8	426	640	238	151	183	183	278.968	198.539	296.489	196.507	315.225	200.991	349.594	202.953	368.651	202.796	385.894	204.641	331.455	244.192	-4.18222	12.9232	3.23323	-0.879784	-1.28612	-0.824962	-1.94859	-0.543364	-0.824806	-1.25538	0.634925	-0.201551	-0.76399	-1.44594	-1.51876	-1.11852	-0.81055	-1.41597	0.323017	-0.994145	-0.681773	-1.37223	-0.0492473	-0.729405	-0.283398	-0.401213	-0.271654	-0.936443	-0.552738	-0.0354611	0.242572	-0.296378	-0.124719	-1.31076
9	426	640	238	152	183	183	279.028	199.011	296.459	197.017	315.228	201.181	349.541	202.876	368.505	202.355	385.779	204.283	331.564	244.563	-4.08575	12.8983	3.37037	-0.907332	-1.25375	-0.821766	-2.0757	-0.545283	-0.614436	-1.15314	0.599351	-0.0832105	-0.829977	-1.19188	-1.7302	-1.11603	-0.815623	-1.42008	0.312528	-0.974402	-0.647362	-1.3973	-0.0283669	-0.792894	-0.31926	-0.455454	-0.272843	-1.02637	-0.561252	-0.0954833	0.134698	-0.249285	-0.0342354	-1.3861
10	426	640	238	152	183	183	279.249	199.032	296.214	196.673	315.53	201.384	349.921	203.251	367.54	202.703	386.243	204.84	331.992	244.393	-3.6847	11.8917	2.88346	-0.965978	-1.19438	-0.694588	-2.00558	-0.652793	-0.754902	-1.13908	0.519717	-0.0887702	-0.795806	-1.44547	-1.32723	-1.14734	-0.823444	-1.48614	0.238872	-0.99684	-0.682538	-1.42213	-0.0168874	-0.811643	-0.350858	-0.435535	-0.248206	-0.900268	-0.549145	0.0163003	0.194903	-0.238353	-0.00299329	-1.31855
