FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
1	426	640	233	157	194	194	276.159	207.674	294.481	206.527	314.54	209.873	350.919	211.573	368.924	209.91	389.339	212.963	331.717	256.824	-3.51704	16.3049	3.39624	-0.751292	-0.960294	-1.07865	-1.89388	-1.57619	-0.847344	-1.70978	0.385197	-0.362969	-0.5599	-0.585984	-0.326344	-1.25279	-0.829269	-1.40072	-0.524093	-1.04139	-0.576819	-0.889042	0.12273	-1.62816	-0.0962937	-0.120988	0.487359	-0.731364	-0.867045	0.662154	0.685139	-0.480349	-0.201413	-0.88455
2	426	640	233	158	192	192	275.603	208.423	294.216	206.562	313.629	210.213	349.669	211.529	368.127	210.629	387.725	212.519	331.351	257.935	-3.12297	15.1459	1.97052	-0.73213	-1.06909	-0.849225	-2.13518	-1.34514	-0.790298	-1.76391	0.14946	0.386747	-0.840251	-0.82642	-0.562358	-1.25191	-0.8253	-1.39037	-0.567305	-1.06025	-0.729846	-0.92009	0.162485	-1.49368	-0.16043	0.023968	0.431954	-0.997416	-0.958807	0.569704	0.607118	-0.421861	-0.227163	-0.958899
3	426	640	232	159	191	191	274.406	209.223	293.147	207.767	312.341	210.876	348.292	212.064	367.248	210.456	386.253	212.918	330.175	257.738	-2.91488	15.3168	2.20959	-0.631849	-1.08061	-0.91215	-2.24598	-1.34771	-0.713604	-1.58027	0.196097	0.325065	-0.887117	-0.701363	-0.56393	-1.2519	-0.830059	-1.55495	-0.700261	-1.01668	-0.779481	-1.15325	-0.0525959	-1.15627	-0.099631	-0.070204	0.201798	-1.07998	-0.972378	0.594494	0.549638	-0.442427	-0.119561	-0.863054
4	426	640	235	165	183	183	276.057	212.348	293.928	212.111	312.255	214.399	346.565	215.98	364.387	216.448	382.798	217.268	328.899	257.993	-3.62002	11.3762	2.62654	-2.4802	-1.04755	-0.838335	-1.72028	-1.74963	0.368107	-1.77066	1.07934	-1.42762	0.00522904	-0.957635	0.113773	-0.499798	-0.560063	-0.864554	-0.914077	-1.07256	-0.412999	-1.66798	-0.763816	-0.327083	0.321554	0.295645	0.172818	-0.470763	-0.923899	0.837899	0.747419	-0.658926	-0.329507	-1.26788
5	426	640	232	161	188	188	273.455	210.666	291.711	210.271	310.677	212.232	345.951	213.344	365.605	212.936	383.197	214.125	328.341	256.907	-3.83935	13.9485	2.19966	-1.31467	-0.926288	-0.840371	-1.63277	-1.63357	0.0140991	-2.05588	0.766903	-0.352334	-0.278611	-1.06986	-0.0182879	-1.23392	-0.830757	-1.24546	-1.28784	-0.861472	0.102034	-1.55401	-0.221863	-1.03208	0.0272147	0.0859052	0.0920487	-0.813426	-0.991242	0.770285	0.623158	-0.466277	-0.188555	-1.02966
6	426	640	232	160	190	190	273.569	209.334	291.669	207.279	311.213	211.167	346.891	212.529	365.154	211.225	384.566	213.569	328.533	256.48	-3.78299	14.6197	1.46087	-1.08762	-0.856752	-0.957668	-1.76852	-1.44759	-0.685849	-1.94482	0.612417	-0.436109	-0.473826	-1.0697	-0.538397	-1.25121	-0.811406	-1.36827	-1.0937	-0.986775	-0.623367	-1.66015	-0.0663357	-0.692688	-0.169983	0.00917207	0.093039	-1.00833	-0.999459	0.624279	0.659855	-0.528546	-0.197206	-1.25537
7	426	640	231	158	192	192	272.847	208.735	292.736	206.084	310.869	210.296	346.902	211.396	365.223	210.127	384.948	212.157	328.568	256.13	-3.2711	14.9154	1.92313	-0.747189	-0.973811	-0.639709	-1.94058	-1.53533	-0.454698	-1.90543	0.175811	0.687854	-0.724152	-0.758268	-0.478684	-1.24252	-0.809002	-1.49372	-0.982253	-0.959856	-0.640226	-1.36604	0.0258834	-0.994069	-0.260024	0.0796677	0.148503	-0.821383	-0.9171	0.456195	0.646577	-0.48278	-0.142398	-1.13101
8	426	640	232	159	190	190	273.525	208.75	291.403	206.892	311.13	210.597	346.769	211.972	365.311	210.636	384.403	213.027	327.983	256.325	-3.28618	16.1925	2.05551	-0.903064	-1.02865	-0.867525	-1.99277	-1.3475	-0.66878	-1.77219	0.512489	-0.0881521	-0.681581	-1.01588	-0.584594	-1.25262	-0.830076	-1.45551	-0.740607	-1.04313	-0.881939	-1.76617	0.129816	-0.729858	-0.112001	0.0192105	0.102909	-1.05676	-0.936268	0.609593	0.704051	-0.608461	-0.204372	-1.4474
9	426	640	230	158	192	192	272.756	208.776	291.984	206.251	310.849	210.573	346.951	211.895	364.921	210.198	385.073	212.889	328.105	257.425	-2.99845	15.8228	1.91049	-0.809378	-1.01128	-0.785822	-1.89496	-1.3827	-0.852571	-1.88882	0.152999	0.310173	-0.696442	-0.848604	-0.564722	-1.25103	-0.824638	-1.40577	-0.851152	-1.03284	-0.772849	-1.18011	0.150606	-0.787809	-0.208791	0.118381	0.389633	-1.00396	-1.02938	0.581664	0.630208	-0.577882	-0.138889	-0.975279
10	426	640	231	158	192	192	272.59	208.764	292.092	206.834	310.567	210.427	346.558	211.623	364.436	210.334	384.561	212.486	328.295	257.432	-2.6957	15.4758	1.6883	-0.907904	-0.975433	-0.758111	-1.9126	-1.53646	-0.697686	-1.91007	0.18491	0.263876	-0.660365	-0.802991	-0.559338	-1.24934	-0.824313	-1.47989	-0.849354	-1.01465	-0.727004	-1.25869	0.112393	-1.07167	-0.252546	-0.0685298	0.250776	-0.931649	-0.936839	0.544966	0.612131	-0.531716	-0.142659	-1.02131
11	426	640	230	158	193	193	272.172	208.602	291.912	206.513	310.343	210.45	346.519	211.821	364.421	210.63	384.72	212.865	327.509	257.322	-2.84742	15.4482	1.24824	-0.82529	-1.03921	-0.830008	-1.90162	-1.33644	-0.796578	-1.87589	0.136705	0.309138	-0.694672	-0.792903	-0.550584	-1.24992	-0.826575	-1.41782	-0.733601	-1.03165	-0.825377	-1.13047	0.173026	-0.875335	-0.175142	0.0478861	0.28506	-1.01227	-0.931882	0.610564	0.654474	-0.58164	-0.153777	-1.15863
12	426	640	229	158	193	193	272.145	208.139	291.764	206.827	310.426	210.133	346.707	211.641	364.441	210.494	385.021	212.829	327.817	257.254	-2.70399	15.2722	1.14522	-0.878681	-1.02621	-0.723292	-1.82765	-1.49461	-0.667271	-1.9952	0.147364	0.409447	-0.632118	-0.758165	-0.515739	-1.24728	-0.823801	-1.48102	-0.776029	-1.00087	-0.662167	-1.11557	0.249331	-0.941724	-0.272884	0.0259669	0.341096	-0.955647	-0.937577	0.638456	0.664622	-0.574507	-0.168283	-1.02869
13	426	640	230	159	191	191	272.453	208.744	291.844	206.824	310.365	210.524	346.296	211.833	365.674	210.399	384.237	212.815	327.948	256.68	-3.03268	15.4179	1.85247	-0.848514	-1.04794	-0.758982	-1.89935	-1.4062	-0.814778	-1.78531	0.102987	0.288176	-0.684222	-0.940139	-0.58233	-1.25178	-0.830532	-1.52661	-0.6968	-1.03245	-0.881694	-1.52889	0.155308	-0.592982	-0.144343	-0.0464396	0.105465	-1.14487	-0.916435	0.581152	0.659032	-0.546643	-0.155597	-1.14581
14	426	640	231	158	191	191	273.019	208.356	291.446	206.792	310.837	210.189	346.679	211.549	364.912	210.242	384.528	212.585	327.741	255.995	-2.93996	16.1995	2.07064	-0.999713	-1.18812	-0.851655	-1.78293	-1.54217	-0.606107	-1.9266	0.391704	-0.123716	-0.492781	-0.990376	-0.557611	-1.25158	-0.830766	-1.57865	-0.687003	-1.03483	-0.844466	-1.68329	0.0664098	-0.958283	-0.216955	-0.0989277	0.0908134	-1.08358	-0.952724	0.622958	0.707379	-0.603659	-0.171003	-1.39738
15	426	640	231	159	191	191	272.761	208.792	291.438	206.764	310.627	210.483	346.513	211.707	364.928	210.138	384.407	212.6	327.792	257.113	-2.92132	15.7295	1.98632	-0.860811	-1.10143	-0.735989	-1.94571	-1.33398	-0.74372	-1.74524	0.193231	0.286942	-0.714417	-0.966969	-0.652372	-1.25166	-0.830721	-1.50707	-0.644165	-1.05784	-0.885154	-1.42993	0.165651	-0.748508	-0.168147	-0.0131354	0.200497	-1.02584	-0.943245	0.573386	0.653497	-0.542469	-0.1642	-1.1855
16	426	640	231	158	191	191	272.951	208.561	291.99	206.497	310.906	210.097	346.875	211.173	365.012	210.021	384.854	211.91	328.089	256.259	-2.55778	15.6168	2.06644	-0.845584	-1.10707	-0.741681	-1.90853	-1.51656	-0.649521	-1.8975	0.363983	0.1806	-0.645472	-0.720868	-0.614396	-1.24388	-0.826471	-1.55451	-0.689104	-1.02039	-0.709285	-1.39147	0.133776	-1.13312	-0.214813	-0.0999225	0.0972203	-0.98052	-0.933036	0.576718	0.63895	-0.545155	-0.141336	-1.22917
17	426	640	231	158	191	191	272.919	208.329	292.194	205.985	310.775	210.048	346.652	211.299	365.123	210.032	384.536	212.22	327.653	255.73	-2.80609	16.2236	2.28878	-0.944465	-1.26817	-0.777733	-1.78212	-1.53691	-0.725827	-1.84221	0.346681	-0.0895559	-0.514428	-0.828734	-0.733069	-1.24829	-0.830823	-1.63321	-0.649173	-1.02612	-0.852962	-1.65909	0.0968487	-1.00659	-0.192249	0.000420961	0.0748809	-1.00944	-0.902805	0.582156	0.715216	-0.594539	-0.11693	-1.38026
18	426	640	233	164	184	184	273.936	212.001	290.781	211.615	310.412	213.766	344.982	215.075	362.876	214.651	381.487	216.073	327.371	257.892	-3.61306	11.8847	1.95211	-2.16334	-1.06494	-0.693989	-1.94444	-1.68776	0.290401	-1.4695	1.00848	-1.13002	-0.261238	-1.10007	0.0803491	-0.713841	-0.62279	-0.819429	-1.05857	-0.985401	-0.215522	-1.45068	-0.605049	-0.511902	0.185382	0.357982	0.255555	-0.447978	-0.951514	0.85732	0.740718	-0.624291	-0.323851	-1.39048
19	426	640	230	160	190	190	271.696	209.911	289.502	207.725	309.456	211.551	345.242	212.728	364.184	211.092	383.029	213.573	327.219	257.229	-3.2222	15.3959	1.57401	-1.04955	-0.854377	-1.036	-1.41949	-1.30163	-0.544587	-1.71745	0.381385	-0.453328	-0.235303	-1.22562	-0.394204	-1.25119	-0.825497	-1.22342	-1.21208	-0.892581	-0.216245	-1.47381	-0.0235109	-0.639306	-0.145356	-0.0833825	0.174724	-1.14011	-0.867728	0.666384	0.558372	-0.525021	-0.185501	-0.971794
20	426	640	229	158	193	193	270.652	209.774	290.329	206.865	309.013	211.222	345.365	212.211	364.002	211.354	383.748	212.851	327.15	258.182	-3.01196	16.7963	2.50122	-0.686501	-1.03976	-1.01644	-1.66175	-1.43164	-0.932445	-1.62597	0.181302	-0.220625	-0.465153	-0.918654	-0.434939	-1.24628	-0.818865	-1.36393	-1.12346	-1.01177	-0.621163	-0.821601	0.18844	-0.691571	-0.178224	0.0388818	0.446669	-0.949188	-0.902579	0.555508	0.505737	-0.562368	-0.212436	-0.911618
21	426	640	229	159	192	192	270.672	210.087	290.568	206.811	308.818	211.246	344.965	211.964	363.289	210.086	383.127	212.32	327.002	258.543	-2.95767	17.1165	2.43314	-0.773877	-1.00996	-0.831959	-2.06888	-1.33339	-0.767937	-1.60246	0.274735	0.141488	-0.774784	-0.753895	-0.625541	-1.25225	-0.824707	-1.41535	-0.974747	-1.02528	-0.781526	-0.802597	0.185814	-0.620438	-0.0637484	-0.0411227	0.405087	-0.940335	-0.918202	0.507212	0.460624	-0.547405	-0.251495	-0.899062
