Class	Name
emo1	anger      
emo1	contempt   
emo1	disgust    
emo1	joy        
emo1	fear       
emo1	sadness    
emo1	surprise   
sent1	neutral    
sent1	negative   
sent1	positive   
emo2	confusion  
emo2	frustration
au	AU1        
au	AU2        
au	AU4        
au	AU5        
au	AU6        
au	AU7        
au	AU9        
au	AU10       
au	AU12       
au	AU14       
au	AU15       
au	AU17       
au	AU18       
au	AU20       
au	AU23       
au	AU24       
au	AU25       
au	AU26       
au	AU28  
face	FaceBoxX           
face	FaceBoxY           
face	FaceBoxW           
face	FaceBoxH           
land	left_eye_lateral_x 
land	left_eye_lateral_y 
land	left_eye_pupil_x   
land	left_eye_pupil_y   
land	left_eye_medial_x  
land	left_eye_medial_y  
land	right_eye_medial_x 
land	right_eye_medial_y 
land	right_eye_pupil_x  
land	right_eye_pupil_y  
land	right_eye_lateral_x
land	right_eye_lateral_y
land	nose_tip_x         
land	nose_tip_y         
pose	Roll               
pose	Pitch              
pose	Yaw  
